"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","131","Deve acessar a página inicial","","2026-02-14","passed","2026-02-14","","Testes da aplicação","",""
"","10","deve passar","","2026-02-14","passed","2026-02-14","","Teste exemplo","",""
